cell_id,date,ndvi_mean
8,2023-09-27,0.34610897
8,2023-10-02,0.3455533
8,2023-11-11,0.35151586
8,2023-11-16,0.35710707
8,2023-12-06,0.365022
9,2023-05-15,0.11431466
9,2023-06-04,0.11555993
9,2023-06-09,0.113661535
9,2023-06-19,0.113840945
9,2023-06-24,0.11369186
9,2023-06-29,0.11592256
9,2023-07-04,0.11794901
9,2023-07-09,0.1173391
9,2023-07-14,0.07491707
9,2023-07-19,0.1150652
9,2023-07-24,0.11580746
9,2023-08-03,0.11501122
9,2023-08-18,0.119282246
9,2023-08-23,0.107796304
9,2023-08-28,0.11500896
9,2023-09-22,0.114171036
9,2023-09-27,0.117039494
9,2023-10-02,0.11767297
9,2023-11-11,0.11856804
9,2023-11-16,0.12157863
9,2023-12-06,0.12192508
10,2023-05-15,0.0
10,2023-06-04,0.0
10,2023-06-09,0.0
10,2023-06-19,0.0
10,2023-06-24,0.0
10,2023-06-29,0.0
10,2023-07-04,0.0
10,2023-07-09,0.0
10,2023-07-14,0.0
10,2023-07-19,0.0
10,2023-07-24,0.0
10,2023-08-03,0.0
10,2023-08-18,0.0
10,2023-08-23,0.0
10,2023-08-28,0.0
10,2023-09-22,0.0
10,2023-09-27,0.0
10,2023-10-02,0.0
10,2023-11-11,0.0
10,2023-11-16,0.0
10,2023-12-06,0.0
11,2023-05-15,0.1039756
11,2023-06-04,0.10533344
11,2023-06-09,0.09331372
11,2023-06-19,0.104612626
11,2023-06-24,0.104338616
11,2023-06-29,0.10578259
11,2023-07-04,0.10782738
11,2023-07-09,0.10664757
11,2023-07-14,0.10532576
11,2023-07-19,0.10475414
11,2023-07-24,0.102723174
11,2023-08-03,0.10545464
11,2023-08-18,0.108754076
11,2023-08-23,0.094296895
11,2023-08-28,0.105615675
11,2023-09-22,0.10361372
11,2023-09-27,0.10542544
11,2023-10-02,0.10643205
11,2023-11-11,0.1115926
11,2023-11-16,0.11404852
11,2023-12-06,0.11397471
12,2023-05-15,0.4692847
12,2023-06-04,0.47635594
12,2023-06-09,0.47291884
12,2023-06-19,0.4738911
12,2023-06-24,0.4737634
12,2023-06-29,0.47951704
12,2023-07-04,0.48807627
12,2023-07-09,0.4829319
12,2023-07-14,0.45316967
12,2023-07-19,0.47370806
12,2023-07-24,0.4580426
12,2023-08-03,0.47477072
12,2023-08-18,0.49756324
12,2023-08-23,0.43596038
12,2023-08-28,0.4866655
12,2023-09-22,0.48004195
12,2023-09-27,0.488816
12,2023-10-02,0.49731585
12,2023-11-11,0.5068896
12,2023-11-16,0.51974845
12,2023-12-06,0.5186952
13,2023-05-15,0.4756665
13,2023-06-04,0.49021596
13,2023-06-09,0.4845992
13,2023-06-19,0.4874849
13,2023-06-24,0.48707616
13,2023-06-29,0.49494573
13,2023-07-04,0.50251627
13,2023-07-09,0.49711436
13,2023-07-14,0.289236
13,2023-07-19,0.4894978
13,2023-07-24,0.47628266
13,2023-08-03,0.49077308
13,2023-08-18,0.51597947
13,2023-08-23,0.45281345
13,2023-08-28,0.4992946
13,2023-09-22,0.4904389
13,2023-09-27,0.45065752
13,2023-10-02,0.5070982
13,2023-11-11,0.504699
13,2023-11-16,0.5148122
13,2023-12-06,0.5175481
14,2023-05-15,0.47724238
14,2023-06-04,0.49927396
14,2023-06-09,0.49318188
14,2023-06-19,0.49636373
14,2023-06-24,0.4917354
14,2023-06-29,0.50056374
14,2023-07-04,0.51026213
14,2023-07-09,0.50533074
14,2023-07-14,0.45232412
14,2023-07-19,0.49252865
14,2023-07-24,0.48303184
14,2023-08-03,0.49877313
14,2023-08-18,0.5193221
14,2023-08-23,0.45986864
14,2023-08-28,0.50086987
14,2023-09-22,0.49302828
14,2023-09-27,0.42785633
14,2023-10-02,0.51030517
14,2023-11-11,0.516224
14,2023-11-16,0.532393
14,2023-12-06,0.53171986
15,2023-05-15,0.48244438
15,2023-06-04,0.49042723
15,2023-06-09,0.48424616
15,2023-06-19,0.4876628
15,2023-06-24,0.48560166
15,2023-06-29,0.49314767
15,2023-07-04,0.5035367
15,2023-07-09,0.4995244
15,2023-07-14,0.3777705
15,2023-07-19,0.48975047
15,2023-07-24,0.48266855
15,2023-08-03,0.4877318
15,2023-08-18,0.50696445
15,2023-08-23,0.4505091
15,2023-08-28,0.49006698
15,2023-09-22,0.48622507
15,2023-09-27,0.49814317
15,2023-10-02,0.49788925
15,2023-11-11,0.50643396
15,2023-11-16,0.519257
15,2023-12-06,0.52095634
16,2023-05-15,0.4867817
16,2023-06-04,0.4921833
16,2023-06-09,0.48951828
16,2023-06-19,0.49188486
16,2023-06-24,0.48942322
16,2023-06-29,0.49732307
16,2023-07-04,0.5074043
16,2023-07-09,0.5032031
16,2023-07-14,0.16549173
16,2023-07-19,0.46091765
16,2023-07-24,0.49000394
16,2023-08-03,0.48884666
16,2023-08-18,0.5054458
16,2023-08-23,0.44584706
16,2023-08-28,0.4902327
16,2023-09-22,0.486951
16,2023-09-27,0.49984556
16,2023-10-02,0.4971586
16,2023-11-11,0.50538665
16,2023-11-16,0.5111949
16,2023-12-06,0.52260095
17,2023-05-15,0.4830221
17,2023-06-04,0.49211597
17,2023-06-09,0.4840145
17,2023-06-19,0.48661634
17,2023-06-24,0.48597127
17,2023-06-29,0.49601242
17,2023-07-04,0.5047197
17,2023-07-09,0.50176984
17,2023-07-14,0.09030265
17,2023-07-19,0.49036533
17,2023-07-24,0.4929426
17,2023-08-03,0.49239537
17,2023-08-18,0.5060357
17,2023-08-23,0.4549096
17,2023-08-28,0.49232295
17,2023-09-22,0.4882582
17,2023-09-27,0.5001509
17,2023-10-02,0.50372875
17,2023-11-11,0.50802606
17,2023-11-16,0.5204088
17,2023-12-06,0.5200808
18,2023-05-15,0.37389475
18,2023-06-04,0.38226375
18,2023-06-09,0.37538216
18,2023-06-19,0.37707695
18,2023-06-24,0.37860543
18,2023-06-29,0.3856074
18,2023-07-04,0.39175844
18,2023-07-09,0.38955438
18,2023-07-14,0.2748912
18,2023-07-19,0.38036954
18,2023-07-24,0.38280162
18,2023-08-03,0.38165405
18,2023-08-18,0.39325485
18,2023-08-23,0.35507992
18,2023-08-28,0.38055214
18,2023-09-22,0.37862915
18,2023-09-27,0.38605365
18,2023-10-02,0.3900055
18,2023-11-11,0.39433438
18,2023-11-16,0.40337136
18,2023-12-06,0.40346605
19,2023-05-15,0.1510862
19,2023-06-04,0.15547135
19,2023-06-09,0.15232731
19,2023-06-19,0.15287662
19,2023-06-24,0.15359882
19,2023-06-29,0.15661313
19,2023-07-04,0.15937747
19,2023-07-09,0.15839499
19,2023-07-14,0.15676297
19,2023-07-19,0.15337469
19,2023-07-24,0.15486217
19,2023-08-03,0.15478018
19,2023-08-18,0.16070348
19,2023-08-23,0.14530882
19,2023-08-28,0.15412596
19,2023-09-22,0.15443106
19,2023-09-27,0.15694274
19,2023-10-02,0.15874864
19,2023-11-11,0.16063926
19,2023-11-16,0.16500397
19,2023-12-06,0.16490807
20,2023-05-15,0.0034438625
20,2023-06-04,0.0035068782
20,2023-06-09,0.0034045416
20,2023-06-19,0.0033965972
20,2023-06-24,0.0034816705
20,2023-06-29,0.0034674197
20,2023-07-04,0.0034823343
20,2023-07-09,0.0034703044
20,2023-07-14,0.0027946793
20,2023-07-19,0.0033417358
20,2023-07-24,0.003411737
20,2023-08-03,0.003451961
20,2023-08-18,0.003733802
20,2023-08-23,0.0033769705
20,2023-08-28,0.0035823926
20,2023-09-22,0.0035718249
20,2023-09-27,0.0036049166
20,2023-10-02,0.0036722466
20,2023-11-11,0.003716624
20,2023-11-16,0.0038400101
20,2023-12-06,0.0038169925
21,2023-05-15,0.032599874
21,2023-06-04,0.033326067
21,2023-06-09,0.032769337
21,2023-06-19,0.032771725
21,2023-06-24,0.03295068
21,2023-06-29,0.03339266
21,2023-07-04,0.03393222
21,2023-07-09,0.033587914
21,2023-07-14,0.033157866
21,2023-07-19,0.03278056
21,2023-07-24,0.032591626
21,2023-08-03,0.033285778
21,2023-08-18,0.03364726
21,2023-08-23,0.03027019
21,2023-08-28,0.032851756
21,2023-09-22,0.03228209
21,2023-09-27,0.032850366
21,2023-10-02,0.033220597
21,2023-11-11,0.03477896
21,2023-11-16,0.035258178
21,2023-12-06,0.035754606
22,2023-05-15,0.4234209
22,2023-06-04,0.42963082
22,2023-06-09,0.3709156
22,2023-06-19,0.4288205
22,2023-06-24,0.4268027
22,2023-06-29,0.43334717
22,2023-07-04,0.44226503
22,2023-07-09,0.43846786
22,2023-07-14,0.4305847
22,2023-07-19,0.42716873
22,2023-07-24,0.422568
22,2023-08-03,0.42968875
22,2023-08-18,0.43647316
22,2023-08-23,0.38363397
22,2023-08-28,0.42485055
22,2023-09-22,0.4178944
22,2023-09-27,0.4242222
22,2023-10-02,0.42992464
22,2023-11-11,0.44858366
22,2023-11-16,0.45534456
22,2023-12-06,0.46130213
23,2023-05-15,0.47689006
23,2023-06-04,0.48527133
23,2023-06-09,0.47535115
23,2023-06-19,0.4830574
23,2023-06-24,0.48369145
23,2023-06-29,0.48957056
23,2023-07-04,0.49810687
23,2023-07-09,0.49393374
23,2023-07-14,0.46718022
23,2023-07-19,0.48589367
23,2023-07-24,0.4762171
23,2023-08-03,0.49109495
23,2023-08-18,0.5095753
23,2023-08-23,0.45258558
23,2023-08-28,0.49968553
23,2023-09-22,0.48940688
23,2023-09-27,0.4983351
23,2023-10-02,0.50447285
23,2023-11-11,0.5097402
23,2023-11-16,0.52656007
23,2023-12-06,0.52250534
24,2023-05-15,0.47027588
24,2023-06-04,0.4786303
24,2023-06-09,0.47299832
24,2023-06-19,0.47554207
24,2023-06-24,0.47684225
24,2023-06-29,0.483977
24,2023-07-04,0.49151585
24,2023-07-09,0.48762828
24,2023-07-14,0.23105744
24,2023-07-19,0.47710243
24,2023-07-24,0.4592489
24,2023-08-03,0.47873613
24,2023-08-18,0.49749514
24,2023-08-23,0.4411625
24,2023-08-28,0.4847219
24,2023-09-22,0.4723277
24,2023-09-27,0.4833359
24,2023-10-02,0.4888942
24,2023-11-11,0.48540315
24,2023-11-16,0.49696207
24,2023-12-06,0.4985573
25,2023-05-15,0.47804585
25,2023-06-04,0.48661938
